Card Type: Master Card; Ammount: 0KM; First Name: ; Last Name: ; Credit Card Number: ; ;; Purchase attempt: 24-Apr-2019 06:36:25
Card Type: Master Card; Ammount: 0KM; First Name: ; Last Name: ; Credit Card Number: ; ;; Purchase attempt: 24-Apr-2019 06:36:26
Card Type: Master Card; Ammount: 650KM; First Name: Conner; Last Name: Salas; Credit Card Number: 5551764569770236; ;; Purchase attempt: 03-May-2019 03:32:34
Card Type: Master Card; Ammount: 650KM; First Name: Conner; Last Name: Salas; Credit Card Number: 5551764569770236; ;; Purchase attempt: 03-May-2019 03:32:38
Card Type: Visa; Ammount: 0KM; First Name: ; Last Name: ; Credit Card Number: ; ;; Purchase attempt: 08-May-2019 07:59:20
Card Type: Visa; Ammount: 0KM; First Name: ; Last Name: ; Credit Card Number: ; ;; Purchase attempt: 08-May-2019 07:59:32
Card Type: Visa; Ammount: 0KM; First Name: Seige; Last Name: Parker; Credit Card Number: 4477503358419181; ;; Purchase attempt: 08-May-2019 08:07:10
Card Type: Visa; Ammount: 0KM; First Name: Seige; Last Name: Parker; Credit Card Number: 4477503358419181; ;; Purchase attempt: 08-May-2019 08:07:16
Card Type: Visa; Ammount: KM; First Name: ; Last Name: ; Credit Card Number: ; ;; Purchase attempt: 05-Sep-2019 03:12:58
Card Type: American Express;  Ammount: 50KM; First Name: Emmanuel; Last Name: Harris; Credit Card Number: 377333620264515; ;; Purchase attempt: 05-Sep-2019 03:21:00
Card Type: American Express;  Ammount: 50KM; First Name: Emmanuel; Last Name: Harris; Credit Card Number: 377333620264515; ;; Purchase attempt: 05-Sep-2019 03:21:03
Card Type: American Express;  Ammount: 50KM; First Name: Emmanuel; Last Name: Harris; Credit Card Number: 377333620264515; ;; Purchase attempt: 05-Sep-2019 03:21:46
Card Type: American Express;  Ammount: 50KM; First Name: Madison; Last Name: Walker; Credit Card Number: 345456838433371; ;; Purchase attempt: 05-Sep-2019 03:22:22
Card Type: Visa; Ammount: 50KM; First Name: Amber; Last Name: Lewis; Credit Card Number: 4740813614701251; ;; Purchase attempt: 05-Sep-2019 03:24:50
Card Type: Visa; Ammount: 50KM; First Name: Amber; Last Name: Lewis; Credit Card Number: 4740813614701251; ;; Purchase attempt: 05-Sep-2019 03:25:07
Card Type: Visa; Ammount: 70KM; First Name: Emmanuel; Last Name: Harris; Credit Card Number: 377333620264515; ;; Purchase attempt: 17-Sep-2019 10:40:03
Card Type: Visa; Ammount: 120KM; First Name: Emmanuel; Last Name: Harris; Credit Card Number: 377333620264515; ;; Purchase attempt: 17-Sep-2019 10:58:28
Card Type: Visa; Ammount: 70KM; First Name: Emmanuel; Last Name: Harris; Credit Card Number: 377333620264515; ;; Purchase attempt: 17-Sep-2019 11:04:09
Card Type: Visa; Ammount: 70KM; First Name: Emmanuel; Last Name: Harris; Credit Card Number: 377333620264515; ;; Purchase attempt: 17-Sep-2019 11:06:03
Card Type: Visa; Ammount: 770KM; First Name: Emmanuel; Last Name: Harris; Credit Card Number: 377333620264515; ;; Purchase attempt: 18-Sep-2019 04:24:33
Card Type: Visa; Ammount: 770KM; First Name: Emmanuel; Last Name: Harris; Credit Card Number: 377333620264515; ;; Purchase attempt: 18-Sep-2019 05:50:01
