Card Type: Master Card; Ammount: 50KM; First Name: Conner; Last Name: Salas; Credit Card Number: 5551764569770236; ;; Purchase attempt: 23-Apr-2019 02:18:46
Card Type: American Express;  Ammount: 0KM; First Name: Emmanuel; Last Name: Harris; Credit Card Number: 377333620264515; ;; Purchase attempt: 24-Apr-2019 06:10:52
Card Type: American Express;  Ammount: 0KM; First Name: Emmanuel; Last Name: Harris; Credit Card Number: 377333620264515; ;; Purchase attempt: 24-Apr-2019 06:13:59
Card Type: American Express;  Ammount: 0KM; First Name: Emmanuel; Last Name: Harris; Credit Card Number: 377333620264515; ;; Purchase attempt: 24-Apr-2019 06:17:03
Card Type: American Express;  Ammount: 0KM; First Name: Emmanuel; Last Name: Harris; Credit Card Number: 377333620264515; ;; Purchase attempt: 24-Apr-2019 06:18:36
Card Type: Master Card; Ammount: 1750KM; First Name: Aditya; Last Name: Jackson; Credit Card Number: 5241990319676045; ;; Purchase attempt: 03-May-2019 03:30:59
Card Type: Master Card; Ammount: 650KM; First Name: Conner; Last Name: Salas; Credit Card Number: 5551764569770236; ;; Purchase attempt: 03-May-2019 03:32:48
Card Type: Visa; Ammount: 70KM; First Name: Emmanuel; Last Name: Harris; Credit Card Number: 377333620264515; ;; Purchase attempt: 18-Sep-2019 05:31:34
Card Type: Visa; Ammount: 770KM; First Name: Emmanuel; Last Name: Harris; Credit Card Number: 377333620264515; ;; Purchase attempt: 18-Sep-2019 05:47:46
Card Type: Visa; Ammount: 770KM; First Name: Emmanuel; Last Name: Harris; Credit Card Number: 377333620264515; ;; Purchase attempt: 18-Sep-2019 05:48:42
Card Type: Visa; Ammount: 770KM; First Name: Emmanuel; Last Name: Harris; Credit Card Number: 377333620264515; ;; Purchase attempt: 18-Sep-2019 05:50:08
Card Type: Visa; Ammount: 770KM; First Name: Emmanuel; Last Name: Harris; Credit Card Number: 377333620264515; ;; Purchase attempt: 18-Sep-2019 05:52:02
Card Type: Visa; Ammount: 770KM; First Name: Emmanuel; Last Name: Harris; Credit Card Number: 377333620264515; ;; Purchase attempt: 18-Sep-2019 05:52:32
Card Type: Visa; Ammount: 770KM; First Name: Emmanuel; Last Name: Harris; Credit Card Number: 377333620264515; ;; Purchase attempt: 18-Sep-2019 05:53:21
Card Type: Visa; Ammount: 770KM; First Name: Emmanuel; Last Name: Harris; Credit Card Number: 377333620264515; ;; Purchase attempt: 18-Sep-2019 05:53:39
Card Type: Visa; Ammount: 770KM; First Name: Emmanuel; Last Name: Harris; Credit Card Number: 377333620264515; ;; Purchase attempt: 18-Sep-2019 06:01:12
Card Type: Visa; Ammount: 770KM; First Name: Emmanuel; Last Name: Harris; Credit Card Number: 377333620264515; ;; Purchase attempt: 18-Sep-2019 06:01:25
Card Type: Visa; Ammount: 525KM; First Name: Emmanuel; Last Name: Harris; Credit Card Number: 377333620264515; ;; Purchase attempt: 18-Sep-2019 11:05:55
Card Type: Visa; Ammount: 10KM; First Name: Emmanuel; Last Name: Harris; Credit Card Number: 377333620264515; ;; Purchase attempt: 18-Sep-2019 11:13:20
Card Type: Visa; Ammount: 5KM; First Name: emmanuel; Last Name: Harris; Credit Card Number: 377333620264515; ;; Purchase attempt: 18-Sep-2019 11:16:12
Card Type: Visa; Ammount: 5KM; First Name: Emmanuel; Last Name: Harris; Credit Card Number: 377333620264515; ;; Purchase attempt: 18-Sep-2019 11:16:54
Card Type: Visa; Ammount: 95KM; First Name: Emmanuel; Last Name: Harris; Credit Card Number: 377333620264515; ;; Purchase attempt: 18-Sep-2019 11:28:07
Card Type: Visa; Ammount: 40KM; First Name: Emmanuel; Last Name: Harris; Credit Card Number: 377333620264515; ;; Purchase attempt: 18-Sep-2019 11:46:55
Card Type: Visa; Ammount: 20KM; First Name: Emmanuel; Last Name: Harris; Credit Card Number: 377333620264515; ;; Purchase attempt: 18-Sep-2019 11:49:45
Card Type: Visa; Ammount: 5KM; First Name: Emmanuel; Last Name: Harris; Credit Card Number: 377333620264515; ;; Purchase attempt: 18-Sep-2019 11:52:08
Card Type: Visa; Ammount: 10KM; First Name: Emmanuel; Last Name: Harris; Credit Card Number: 377333620264515; ;; Purchase attempt: 18-Sep-2019 11:55:10
Card Type: Visa; Ammount: 10KM; First Name: Emmanuel; Last Name: Harris; Credit Card Number: 377333620264515; ;; Purchase attempt: 18-Sep-2019 11:59:47
Card Type: Visa; Ammount: 10KM; First Name: Emmanuel; Last Name: Harris; Credit Card Number: 377333620264515; ;; Purchase attempt: 19-Sep-2019 12:03:36
Card Type: Visa; Ammount: 40KM; First Name: Emmanuel; Last Name: Harris; Credit Card Number: 377333620264515; ;; Purchase attempt: 19-Sep-2019 12:09:18
Card Type: Visa; Ammount: 13070KM; First Name: Emmanuel; Last Name: Harris; Credit Card Number: 377333620264515; ;; Purchase attempt: 19-Sep-2019 12:11:26
Card Type: Visa; Ammount: 7820KM; First Name: Emmanuel; Last Name: Harris; Credit Card Number: 377333620264515; ;; Purchase attempt: 19-Sep-2019 12:14:11
Card Type: Visa; Ammount: 90KM; First Name: Emmanuel; Last Name: Harris; Credit Card Number: 377333620264515; ;; Purchase attempt: 19-Sep-2019 12:16:59
Card Type: Visa; Ammount: 90KM; First Name: emmanuel; Last Name: Harris; Credit Card Number: 377333620264515; ;; Purchase attempt: 19-Sep-2019 12:26:56
Card Type: Visa; Ammount: 200KM; First Name: Emmanuel; Last Name: Harris; Credit Card Number: 377333620264515; ;; Purchase attempt: 19-Sep-2019 12:36:18
Card Type: Visa; Ammount: 710KM; First Name: Emmanuel; Last Name: Harris; Credit Card Number: 377333620264515; ;; Purchase attempt: 19-Sep-2019 12:47:39
Card Type: Visa; Ammount: 600KM; First Name: emmanuel; Last Name: Harris; Credit Card Number: 377333620264515; ;; Purchase attempt: 19-Sep-2019 12:51:54
